label,mapped_value,category,new_label,new_label_cat,used
TCSAmount,TCSAmount,103,TCSAmount,22,1
CessAmount,CessAmount,105,CessAmount,23,1
insuranceAmount,insuranceAmount,109,insuranceAmount,24,1
hdr_itemCode,hdr_itemCode,70,hdr_itemCode,25,1
hdr_itemDescription,hdr_itemDescription,71,hdr_itemDescription,26,1
hdr_itemQuantity,hdr_itemQuantity,72,hdr_itemQuantity,27,1
hdr_itemValue,hdr_itemValue,75,hdr_itemValue,28,1
hdr_unitPrice,hdr_unitPrice,74,hdr_unitPrice,29,1
hdr_UOM,hdr_UOM,73,hdr_UOM,30,1
hdr_taxAmount,hdr_taxAmount,76,hdr_taxAmount,31,1
hdr_TaxAmount,hdr_taxAmount,76,hdr_taxAmount,31,1
hdr_HSNCode,hdr_HSNCode,86,hdr_HSNCode,32,1
hdr_CGSTAmount,hdr_CGSTAmount,82,hdr_CGSTAmount,33,1
hdr_SGSTAmount,hdr_SGSTAmount,80,hdr_SGSTAmount,34,1
hdr_IGSTAmount,hdr_IGSTAmount,78,hdr_IGSTAmount,35,1
hdr_ISGTAmount,hdr_IGSTAmount,78,hdr_IGSTAmount,35,1
hdr_CessAmount,hdr_CessAmount,112,hdr_CessAmount,36,1
LI_itemCode,LI_itemCode,87,LI_itemCode,37,1
LI_itemDescription,LI_itemDescription,88,LI_itemDescription,38,1
LI_itemQuantity,LI_itemQuantity,89,LI_itemQuantity,39,1
LI_itemValue,LI_itemValue,92,LI_itemValue,40,1
LI_unitPrice,LI_unitPrice,91,LI_unitPrice,41,1
LI_UOM,LI_UOM,90,LI_UOM,42,1
LI_taxAmount,LI_taxAmount,93,LI_taxAmount,43,1
LI_HSNCode,LI_HSNCode,103,LI_HSNCode,44,1
LI_CGSTAmount,LI_CGSTAmount,99,LI_CGSTAmount,45,1
LI_SGSTAmount,LI_SGSTAmount,97,LI_SGSTAmount,46,1
LI_IGSTAmount,LI_IGSTAmount,95,LI_IGSTAmount,47,1
LI_ISGTAmount,LI_IGSTAmount,95,LI_IGSTAmount,47,1
LI_CessAmount,LI_cessAmount,114,LI_cessAmount,48,1
hdr_netAmount,hdr_netAmount,116,hdr_netAmount,49,1
LI_netAmount,LI_netAmount,117,LI_netAmount,50,1
hdr_taxableAmount,hdr_taxableAmount,118,hdr_taxableAmount,51,0
LI_taxableAmount,LI_taxableAmount,119,LI_taxableAmount,52,0
hdr_DiscountAmount,hdr_discountAmount,120,hdr_discountAmount,53,0
LI_DiscountAmount,LI_discountAmount,121,LI_discountAmount,54,0
hdr_DiscountRate,hdr_discountRate,122,hdr_discountRate,55,0
LI_DiscountRate,LI_discountRate,123,LI_discountRate,56,0
